what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443247254556
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1443247259440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247265982
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1443247267131
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267131
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267154
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267240
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267253
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267265
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267276
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267285
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267304
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267324
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443247267342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.closeAll",1443247267373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443247272528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443247276760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443247277661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248628824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248630556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248633317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248937359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248942136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248943106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248981543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248983040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248983909
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443248984097
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1443248986023
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1443449395183
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1443449395185
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1443449395186
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1443449395220
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1443449395221
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1443449395223
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1443449395224
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1443449395224
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1443449395225
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1443449395226
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1443449395227
