what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225199471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225202187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225212303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225219060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225220652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225224466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225225764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1432225226352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225230644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225231936
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1432225251737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225254369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225255915
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1432225262085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225263368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225265144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225266298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1432225267796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432225275515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432225275669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432225275806
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1432225276748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225281839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225283736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225284320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225285385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225292148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225293837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225310118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225312088
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1432225326574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225327332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1432225343044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225347435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225366701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225376751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1432225382314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225383032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225387053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225390712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225394645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225394742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225395771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225399920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225399931
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1432225402656
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1432225402857
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432225403206
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432225403308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225410605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225419335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225430213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225431677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225432672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225435412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1432225443564
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1432225447481
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432225449261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225461342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225465907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225469767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225471695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225473334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225476408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1432225482818
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432225503097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1432225507751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225515932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225522814
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1432225523911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225528760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225534712
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1432225536614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225536934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1432225541802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225546081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225547452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225551797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225552400
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1432225555991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225566763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225566773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225566833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225576378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1432225582655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225583953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225592286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432225596018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225598128
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1432225600368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432225612268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225613383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225618848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225624679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225634147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1432225635301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432225647513
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1432225649954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225654652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225659571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225660968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432225662388
